animal,pos_neg_sentence,pos_sentence,BERT_pos_neg_animals,BERT_pos_animals
aardvark,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, doesn't have a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs.","['aardvark', 'ostrich', 'cavy', 'tortoise', 'gorilla']","['opossum', 'puma', 'leopard', 'mongoose', 'mink']"
antelope,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['giraffe', 'scorpion', 'ostrich', 'tortoise', 'gorilla']","['raccoon', 'polecat', 'mink', 'vampire', 'fruitbat']"
bass,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, doesn't breathe outside water, isn't venomous, has fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail.","['seasnake', 'seahorse', 'haddock', 'sole', 'slowworm']","['herring', 'catfish', 'chub', 'dogfish', 'stingray']"
bear,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, doesn't have a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs.","['aardvark', 'ostrich', 'cavy', 'tortoise', 'gorilla']","['opossum', 'puma', 'leopard', 'mongoose', 'mink']"
boar,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['vole', 'buffalo', 'cavy', 'bear', 'aardvark']","['raccoon', 'lion', 'polecat', 'boar', 'mink']"
buffalo,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['giraffe', 'scorpion', 'ostrich', 'tortoise', 'gorilla']","['raccoon', 'polecat', 'mink', 'vampire', 'fruitbat']"
calf,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, is a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail, is a domestic animal.","['oryx', 'bear', 'aardvark', 'gorilla', 'cavy']","['calf', 'pony', 'goat', 'hamster', 'reindeer']"
carp,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, isn't a predator, has teeth, is a vertebrate, doesn't breathe outside water, isn't venomous, has fins, doesn't have legs, has a tail, is a domestic animal.","An animal that lay eggs, lives in water, has teeth, is a vertebrate, has fins, has a tail, is a domestic animal.","['seasnake', 'seahorse', 'haddock', 'sole', 'slowworm']","['platypus', 'dolphin', 'porpoise', 'pussycat', 'carp']"
catfish,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, doesn't breathe outside water, isn't venomous, has fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail.","['seasnake', 'seahorse', 'haddock', 'sole', 'slowworm']","['herring', 'catfish', 'chub', 'dogfish', 'stingray']"
cavy,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, doesn't have a tail, is a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, is a domestic animal.","['ladybird', 'ostrich', 'tortoise', 'cavy', 'gorilla']","['reindeer', 'goat', 'hamster', 'pony', 'calf']"
cheetah,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['vole', 'buffalo', 'cavy', 'bear', 'aardvark']","['raccoon', 'lion', 'polecat', 'boar', 'mink']"
