animal,sentence
aardvark,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs."
antelope,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
bass,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail."
bear,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs."
boar,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
buffalo,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
calf,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail, is a domestic animal."
carp,"An animal that lay eggs, lives in water, has teeth, is a vertebrate, has fins, has a tail, is a domestic animal."
catfish,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail."
cavy,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, is a domestic animal."
cheetah,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
chicken,"An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail, is a domestic animal."
chub,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail."
clam,"An animal that lay eggs, is a predator."
crab,"An animal that lay eggs, lives in water, is a predator, has 4 legs."
crayfish,"An animal that lay eggs, lives in water, is a predator, has 6 legs."
crow,"An animal that has feathers, lay eggs, is airborne, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail."
deer,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
dogfish,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail."
dolphin,"An animal that produces milk, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, has fins, has a tail."
dove,"An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail, is a domestic animal."
duck,"An animal that has feathers, lay eggs, is airborne, lives in water, is a vertebrate, breathes outside water, has 2 legs, has a tail."
elephant,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
flamingo,"An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail."
flea,"An animal that lay eggs, breathes outside water, has 6 legs."
frog,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs."
frog,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, is venomous, has 4 legs."
fruitbat,"An animal that has hair, produces milk, is airborne, has teeth, is a vertebrate, breathes outside water, has 2 legs, has a tail."
giraffe,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
